0.901,0.497,0.913,0.489,0.887
1.306,0.497,0.913,0.489,0.917
0.901,0.497,1.198,0.489,0.969
0.901,1.553,0.913,0.489,0.889
0.901,0.497,0.913,1.466,0.842
1.306,0.497,1.198,0.489,0.962
1.306,1.553,0.913,0.489,0.919
1.306,0.497,0.913,1.466,0.868
0.901,1.553,1.198,0.489,0.977
0.901,0.497,1.198,1.466,0.898
0.901,1.553,0.913,1.466,0.833
1.306,1.553,1.198,0.489,0.96
1.306,0.497,1.198,1.466,0.881
1.306,1.553,0.913,1.466,0.854
0.901,1.553,1.198,1.466,0.885
1.306,1.553,1.198,1.466,0.846
1.202,1.212,1.124,0.646,0.976
1.11,1.178,0.922,0.93,0.889
1.084,1.553,1.06,1.403,0.9
1.045,1.382,1.087,0.489,0.97
0.914,1.144,1.133,0.804,0.964
0.953,0.974,0.94,0.867,0.894
0.94,1.246,0.968,0.899,0.906
1.032,1.485,1.115,0.773,0.963
1.149,0.531,1.097,1.435,0.913
0.992,0.94,1.179,1.246,0.923
1.306,0.701,0.959,1.119,0.908
0.966,1.28,1.198,0.741,0.96
0.979,0.599,1.106,0.615,0.965
1.189,1.417,1.069,0.678,0.968
1.28,1.314,1.078,0.993,0.941
1.136,1.042,1.161,0.583,0.971
1.071,1.008,0.949,1.372,0.874
0.927,0.735,1.032,0.962,0.933
1.019,0.633,1.041,1.277,0.921
1.228,1.451,1.005,1.34,0.904
1.241,0.769,0.913,1.214,0.881
0.901,1.348,1.152,0.836,0.961
1.215,1.11,0.931,0.709,0.916
1.058,1.519,1.014,0.52,0.946
1.176,0.565,0.995,1.182,0.919
1.267,0.803,1.143,1.056,0.935
1.254,1.076,1.17,1.088,0.92
1.293,0.906,0.977,1.151,0.913
1.162,0.667,1.023,1.466,0.902
1.123,0.497,1.051,0.552,0.955
1.097,0.872,1.189,1.025,0.93
1.006,0.838,0.986,1.309,0.896
